region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat
2,13,44,1,9,64,4,5,0,0,2,1
3,11,33,1,7,136,5,5,0,0,6,4
3,68,52,1,24,116,1,29,0,1,2,3
2,33,33,0,12,33,2,0,0,1,1,1
2,23,30,1,9,30,1,2,0,0,4,3
2,41,39,0,17,78,2,16,0,1,1,3
3,45,22,1,2,19,2,4,0,1,5,2
2,38,35,0,5,76,2,10,0,0,3,4
3,45,59,1,7,166,4,31,0,0,5,3
1,68,41,1,21,72,1,22,0,0,3,2
2,5,33,0,10,125,4,5,0,1,1,1
3,7,35,0,14,80,2,15,0,1,1,3
1,41,38,1,8,37,2,9,0,1,3,1
2,57,54,1,30,115,4,23,0,1,3,4
2,9,46,0,3,25,1,8,0,1,2,1
1,29,38,1,12,75,5,1,0,0,4,2
3,60,57,0,38,162,2,30,0,0,1,3
3,34,48,0,3,49,2,6,0,1,3,3
2,1,24,0,3,20,1,3,0,0,1,1
1,26,29,1,3,77,4,2,0,0,4,4
3,6,30,0,7,16,3,1,0,1,1,2
1,68,52,1,17,120,1,24,0,0,2,1
3,53,33,0,10,101,5,4,0,1,2,4
3,55,48,1,19,67,1,25,0,0,3,1
3,14,43,1,18,36,1,5,0,0,5,3
2,1,21,0,0,33,2,0,0,1,3,3
2,42,40,0,7,37,2,8,0,1,1,4
3,25,33,1,11,31,1,5,0,0,4,3
1,9,21,1,1,17,2,2,0,1,3,1
2,13,33,1,9,19,4,0,0,1,2,2
1,56,37,1,6,36,1,13,0,1,2,2
1,71,53,1,27,155,5,12,0,0,2,4
1,35,50,1,26,140,2,21,0,1,4,3
1,11,27,1,8,55,5,0,0,0,3,2
2,60,46,1,13,163,3,24,0,0,2,4
3,20,35,1,11,52,4,0,0,0,2,2
2,54,60,0,38,211,4,25,0,0,1,4
1,44,57,1,1,186,2,17,0,0,2,3
1,11,41,1,0,39,1,1,0,1,2,3
2,72,57,0,34,22,2,35,1,1,1,3
3,10,41,0,7,30,1,7,0,0,1,3
2,15,28,0,0,29,2,4,0,1,1,3
2,27,28,1,4,23,2,8,0,0,5,1
1,9,36,1,14,62,4,10,0,0,6,4
1,64,43,1,20,76,4,20,0,1,4,3
1,65,41,1,3,74,4,16,0,0,2,2
1,49,51,1,27,63,4,19,0,0,5,2
3,47,41,1,0,36,4,8,0,0,2,4
3,9,34,1,9,33,2,8,0,1,4,1
1,5,36,0,14,29,2,9,0,1,1,3
2,30,34,1,4,27,2,1,0,0,5,1
1,56,52,1,28,49,2,12,0,0,4,2
3,10,22,0,0,24,4,0,0,0,1,4
1,7,26,1,3,26,2,2,0,0,5,1
1,52,27,0,6,47,3,5,0,0,2,1
2,36,45,1,1,94,2,18,0,1,5,1
3,27,34,0,8,21,3,4,0,1,1,2
1,58,62,1,36,27,1,0,0,0,2,1
2,41,52,0,27,30,2,2,0,1,1,3
2,47,40,1,16,127,4,12,0,1,4,2
2,55,39,1,15,137,2,20,0,1,2,3
2,56,50,1,1,80,2,24,0,1,4,4
3,35,55,0,24,30,2,2,0,0,1,1
2,69,51,1,11,438,4,23,0,1,2,4
2,44,39,0,16,79,2,16,0,0,1,4
3,36,47,1,16,63,1,23,0,0,2,1
3,28,51,1,22,40,3,10,0,1,6,3
1,72,67,1,44,51,1,34,1,0,2,3
1,16,27,0,5,37,3,5,0,0,4,1
3,3,43,0,19,61,4,11,0,1,1,1
1,40,57,1,15,22,2,9,0,0,2,1
3,16,39,0,6,44,4,3,0,1,1,2
1,20,42,0,4,17,3,5,0,0,1,1
2,48,43,0,13,110,5,15,0,1,3,2
2,64,48,1,13,91,2,24,0,0,2,3
1,8,46,0,3,46,2,8,0,0,1,1
1,40,38,1,10,85,3,12,0,0,2,3
2,38,71,0,27,10,2,12,1,0,1,1
1,67,68,0,28,244,1,47,0,1,1,3
1,26,42,0,0,80,4,15,0,1,1,4
3,41,34,1,15,83,5,1,0,1,2,4
2,2,31,0,2,21,1,6,0,0,1,1
3,20,48,1,29,24,2,3,0,0,2,4
2,31,53,0,2,351,3,31,0,1,1,3
2,45,52,1,4,169,4,29,0,1,4,2
2,33,27,1,7,46,2,7,0,0,4,1
1,10,26,0,6,34,3,3,0,0,1,2
2,62,54,1,2,50,4,3,0,0,2,4
2,4,35,0,16,161,5,6,0,1,1,4
1,42,47,1,17,212,4,17,0,0,2,3
3,27,51,1,3,80,5,11,0,0,3,2
2,38,42,0,1,30,4,7,0,1,1,1
3,52,61,1,3,53,5,1,0,1,2,2
3,35,33,0,9,73,5,4,0,1,1,4
3,3,20,1,1,17,2,0,0,1,4,1
2,17,33,0,9,23,5,3,0,0,1,4
1,55,53,1,21,34,1,8,0,0,2,3
3,43,36,1,5,107,1,19,0,1,3,2
2,47,25,1,5,21,1,1,0,1,2,3
3,65,58,0,30,83,2,16,0,1,1,2
1,13,20,0,1,17,3,0,0,0,5,4
3,64,25,1,4,76,3,2,0,1,6,3
2,12,24,0,2,19,1,0,0,0,1,3
1,29,32,1,0,49,4,3,0,1,3,2
2,23,47,0,21,173,3,22,0,1,1,2
2,14,35,0,4,47,3,10,0,1,1,2
1,35,61,0,23,41,2,11,0,0,1,1
3,26,39,0,8,105,3,13,0,1,1,4
1,13,54,0,2,31,4,2,0,0,1,1
2,69,40,1,13,41,2,17,0,0,3,2
3,61,50,1,30,102,4,9,0,1,3,2
2,45,22,1,2,36,4,0,0,1,5,2
2,3,37,0,13,24,1,3,0,1,1,1
2,53,22,0,1,25,4,0,0,0,2,2
1,59,42,0,1,68,2,21,0,1,1,3
1,13,34,0,11,20,3,0,0,1,1,1
3,31,31,0,4,48,1,15,0,0,1,3
1,40,29,1,6,40,2,8,0,1,5,3
1,48,55,0,15,79,1,25,0,0,1,3
3,3,31,0,1,28,1,0,0,0,1,1
2,51,48,0,12,64,2,22,0,1,1,1
3,33,41,0,15,37,2,11,0,0,1,1
3,14,47,1,7,48,1,13,0,0,2,1
1,17,42,1,6,131,5,6,0,0,3,2
3,19,29,1,9,18,2,2,0,0,3,1
2,58,36,0,10,38,2,14,0,1,1,2
3,22,23,0,3,37,2,4,0,1,3,4
2,29,31,1,1,60,4,6,0,0,5,2
